Region,Year,NumDeathsPerYear,NumDeathsComul,NumAttack
Southeast Asia,2012,165,10862,7046
Sub-Saharan Africa,2012,1386,30901,8219
Western Europe,2012,9,5563,15266
Australasia & Oceania,2013,1,131,237
Central America & Caribbean,2013,8,26470,10331
East Asia,2013,11,579,716
Eastern Europe,2013,119,4724,3254
Middle East & North Africa,2013,5776,59161,27603
North America,2013,48,4503,3185
South America,2013,42,25591,18188
South Asia,2013,4222,58977,28322
Southeast Asia,2013,299,11161,8234
Sub-Saharan Africa,2013,1478,32379,9218
Western Europe,2013,5,5568,15527
Australasia & Oceania,2014,3,134,246
Central America & Caribbean,2014,5,26475,10336
East Asia,2014,77,656,759
Eastern Europe,2014,584,5308,4216
Middle East & North Africa,2014,10477,69638,34542
North America,2014,25,4528,3222
South America,2014,25,25616,18471
South Asia,2014,5191,64168,33320
Southeast Asia,2014,300,11461,9316
Sub-Saharan Africa,2014,2122,34501,11539
Western Europe,2014,1,5568,15742
Australasia & Oceania,2015,1,134,260
Central America & Caribbean,2015,1,26475,10337
East Asia,2015,4,660,787
Eastern Europe,2015,423,5731,4900
Middle East & North Africa,2015,9487,79125,40578
North America,2015,42,4570,3284
South America,2015,33,25649,18647
South Asia,2015,5164,69332,37905
Southeast Asia,2015,244,11705,10388
Sub-Saharan Africa,2015,2456,36957,13503
Western Europe,2015,132,5700,16075
Australasia & Oceania,2016,1,134,270
Central America & Caribbean,2016,9,26484,10340
East Asia,2016,19,679,795
Eastern Europe,2016,106,5837,5034
Middle East & North Africa,2016,9885,89010,46693
North America,2016,16,4586,3359
South America,2016,22,25671,18806
South Asia,2016,4417,73749,41544
Southeast Asia,2016,342,12047,11465
Sub-Saharan Africa,2016,1983,38940,15580
Western Europe,2016,111,5811,16348
Australasia & Oceania,2017,3,137,282
Central America & Caribbean,2017,1,26484,10344
East Asia,2017,8,687,802
Eastern Europe,2017,85,5922,5144
Middle East & North Africa,2017,5185,94195,50473
North America,2017,31,4617,3456
South America,2017,38,25709,18978
South Asia,2017,4597,78346,44974
Southeast Asia,2017,360,12407,12485
Sub-Saharan Africa,2017,2061,41001,17550
Western Europe,2017,37,5848,16639
