Region,Year,NumDeathsPerYear,NumAttack
Southeast Asia,2012,165,7046
Sub-Saharan Africa,2012,1386,8219
Western Europe,2012,9,15266
Australasia & Oceania,2013,,237
Central America & Caribbean,2013,8,10331
East Asia,2013,11,716
Eastern Europe,2013,119,3254
Middle East & North Africa,2013,5776,27603
North America,2013,48,3185
South America,2013,42,18188
South Asia,2013,4222,28322
Southeast Asia,2013,299,8234
Sub-Saharan Africa,2013,1478,9218
Western Europe,2013,5,15527
Australasia & Oceania,2014,3,246
Central America & Caribbean,2014,5,10336
East Asia,2014,77,759
Eastern Europe,2014,584,4216
Middle East & North Africa,2014,10477,34542
North America,2014,25,3222
South America,2014,25,18471
South Asia,2014,5191,33320
Southeast Asia,2014,300,9316
Sub-Saharan Africa,2014,2122,11539
Western Europe,2014,0,15742
Australasia & Oceania,2015,0,260
Central America & Caribbean,2015,0,10337
East Asia,2015,4,787
Eastern Europe,2015,423,4900
Middle East & North Africa,2015,9487,40578
North America,2015,42,3284
South America,2015,33,18647
South Asia,2015,5164,37905
Southeast Asia,2015,244,10388
Sub-Saharan Africa,2015,2456,13503
Western Europe,2015,132,16075
Australasia & Oceania,2016,0,270
Central America & Caribbean,2016,9,10340
East Asia,2016,19,795
Eastern Europe,2016,106,5034
Middle East & North Africa,2016,9885,46693
North America,2016,16,3359
South America,2016,22,18806
South Asia,2016,4417,41544
Southeast Asia,2016,342,11465
Sub-Saharan Africa,2016,1983,15580
Western Europe,2016,111,16348
Australasia & Oceania,2017,3,282
Central America & Caribbean,2017,0,10344
East Asia,2017,8,802
Eastern Europe,2017,85,5144
Middle East & North Africa,2017,5185,50473
North America,2017,31,3456
South America,2017,38,18978
South Asia,2017,4597,44974
Southeast Asia,2017,360,12485
Sub-Saharan Africa,2017,2061,17550
Western Europe,2017,37,16639
